TeamId;TrikotNr;Name;Geburtsdatum;Minuten;Tore;Gelbe;GelbRot;Rote
95;21;Sergio Duvan Córdova Lezama;09.08.1997;312;1;1;0;0
95;40;Markus Feulner;12.02.1982;0;0;0;0;0
95;8;Rani Khedira;27.01.1994;1595;0;7;0;0
95;7;Marcel Heller;12.02.1986;1269;0;1;0;0
95;17;Jonathan Schmid;22.06.1990;749;0;1;0;0
95;13;Fabian Giefer;17.05.1990;0;0;0;0;0
95;11;Michael Gregoritsch;18.04.1994;1971;11;1;0;0
95;25;Kilian Jakob;25.01.1998;51;0;0;0;0
95;26;Simon Asta;25.01.2001;0;0;0;0;0
95;15;Efkan Bekiroglu;14.09.1995;0;0;0;0;0
40;24;Corentin Tolisso;03.08.1994;1196;3;3;0;0
40;36;Christian Früchtl;28.01.2000;0;0;0;0;0
40;11;James David Rodríguez Rubio;12.07.1991;1127;4;2;0;0
40;2;Sandro Wagner;29.11.1987;1152;7;4;0;0
40;4;Niklas Süle;03.09.1995;1355;1;0;0;0
40;19;Sebastian Rudy;28.02.1990;928;0;1;0;0
40;6;Thiago Alcantara Nascimiento;11.04.1991;869;1;3;0;0
40;5;Mats Julian Hummels;16.12.1988;1673;1;1;0;0
40;13;Márcio Rafael Ferreira de Souza;07.09.1985;1320;0;4;0;0
40;29;Kingsley Junior Coman;13.06.1996;1149;3;0;0;0
40;17;Jérôme Agyenim Boateng;03.09.1988;1374;1;3;0;0
40;25;Thomas Müller;13.09.1989;1546;6;4;0;0
40;26;Sven Ulreich;03.08.1988;1890;0;1;0;0
40;23;Arturo Erasmo Vidal Pardo;22.05.1987;1368;6;6;0;0
40;32;Joshua Kimmich;08.02.1995;1804;1;1;0;0
40;14;Juan Bernat Velasco;01.03.1993;479;0;0;0;0
40;22;Tom Starke;18.03.1981;180;0;0;0;0
40;27;David Olatukunbo Alaba;24.06.1992;1342;1;1;0;0
40;9;Robert Lewandowski;21.08.1988;1851;23;0;0;0
40;7;Franck Ribéry;07.04.1983;1034;4;1;0;0
40;8;Javier Martínez Aguinaga;02.09.1988;1343;1;1;0;0
40;1;Manuel Peter Neuer;27.03.1986;270;0;0;0;0
40;10;Arjen Robben;23.01.1984;1299;4;0;0;0
40;39;Nicolas Feldhahn;14.08.1986;0;0;0;0;0
40;20;Felix Götze;11.02.1998;0;0;0;0;0
40;30;Niklas Dorsch;15.01.1998;0;0;0;0;0
40;40;Fabian Benko;05.06.1998;0;0;0;0;0
40;41;Miloš Pantovic;07.07.1996;0;0;0;0;0
40;33;Timothy Tillman;04.01.1999;0;0;0;0;0
40;42;Ron Thorben Hoffmann;04.04.1999;0;0;0;0;0
40;37;Leo Weinkauf;07.07.1996;0;0;0;0;0
40;38;Manuel Wintzheimer;10.01.1999;0;0;0;0;0
40;15;Lars Lukas Mai;31.03.2000;0;0;0;0;0
40;35;Maxime Aglago Awoudja;02.02.1998;0;0;0;0;0
40;28;Kwasi Okyere Wriedt;10.07.1994;22;0;0;0;0
40;16;Meritan Shabani;15.03.1999;0;0;0;0;0
9;26;Lennart-Marten Quint Czyborra;03.05.1999;0;0;0;0;0
9;36;Breel Donald Embolo;14.02.1997;710;2;4;0;0
9;18;Daniel Caligiuri;15.01.1988;2198;4;4;0;0
9;29;Ronaldo Aparecido Rodrigues;10.09.1982;2340;5;4;0;0
9;9;Franco Matías Di Santo;07.04.1989;1391;3;3;0;0
9;39;Joshua Bitter;01.01.1997;0;0;0;0;0
9;2;Weston James Earl McKennie;28.08.1998;837;0;3;0;0
9;28;Alessandro Andre Schöpf;07.02.1994;499;0;2;0;0
9;35;Alexander Nübel;30.09.1996;0;0;0;0;0
9;5;Matija Nastasic;28.03.1993;1736;0;4;1;0
9;21;Sascha Riether;23.03.1983;0;0;0;0;0
9;20;Thilo Kehrer;21.09.1996;1824;1;3;0;0
9;7;Maximilian Meyer;18.09.1995;1596;0;6;0;0
